CODETEAM|COMMENT|DORSAL|MARKERTIME|MINUTE|NUMBEROFPLAY|PLAYER|PLAYER_ID|PLAYINFO|PLAYTYPE|POINTS_A|POINTS_B|TEAM|TYPE|Stadium|Local|Visitor|Game
EST       ||24|09:52|1|2|GARCES, RUBEN|JJQ       |Missed Layup (0/1 -  0 pt)|LAYUPATT|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||11|09:49|1|3|BAGARIC, DALIBOR|AFG       |Def Rebound (1)|D|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||20|09:30|1|4|DOUGLAS, RUBEN|JJU       |Turnover (1)|TO|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||11|09:15|1|5|BAGARIC, DALIBOR|AFG       |Steal (1)|ST|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||24|09:15|1|6|GARCES, RUBEN|JJQ       |Turnover (1)|TO|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||5|09:08|1|7|BASILE, GIANLUCA|ADS       |Missed Layup (0/1 -  0 pt)|LAYUPATT|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||5|09:08|1|8|BASILE, GIANLUCA|ADS       |Shot Rejected (1)|AG|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||21|09:08|1|9|PATTERSON, ANDRAE|CFE       |Block (1)|FV|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||13|09:08|1|10|VUJANIC, MILOS|AUP       |Off Rebound (1)|O|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||13|09:00|1|11|VUJANIC, MILOS|AUP       |Missed Three Pointer (0/1 -  0 pt)|3FGA|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||21|09:00|1|12|PATTERSON, ANDRAE|CFE       |Def Rebound (1)|D|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||5|08:51|2|14|BASILE, GIANLUCA|ADS       |Foul (1)|CM|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||10|08:51|2|15|JIMENEZ, CARLOS|AAS       |Foul Drawn (1)|RV|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||14|08:38|2|16|JASEN, HERNAN|BIL       |Missed Three Pointer (0/1 -  0 pt)|3FGA|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||15|08:38|2|17|LORBEK, ERAZEM|BWL       |Def Rebound (1)|D|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||13|08:35|2|18|VUJANIC, MILOS|AUP       |Dunk (1/1 -  2 pt)|DUNK||2.0|Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||13|08:35|2|19|VUJANIC, MILOS|AUP       |Foul Drawn (1)|RV|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||10|08:35|2|20|JIMENEZ, CARLOS|AAS       |Foul (1)|CM|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||13|08:35|2|21|VUJANIC, MILOS|AUP       |Missed Free Throw (0/1 -  2 pt)|FTA|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||13|08:28|2|22|VUJANIC, MILOS|AUP       |Missed Two Pointer (1/2 -  2 pt)|2FGA|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||24|08:25|2|23|GARCES, RUBEN|JJQ       |Def Rebound (1)|D|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||24|08:14|2|24|GARCES, RUBEN|JJQ       |Missed Layup (0/2 -  0 pt)|LAYUPATT|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       |||08:12|2|26||          |Def Rebound (1)|D|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||5|08:03|2|27|BASILE, GIANLUCA|ADS       |Missed Three Pointer (0/1 -  0 pt)|3FGA|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||10|07:57|3|29|JIMENEZ, CARLOS|AAS       |Def Rebound (1)|D|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||12|07:52|3|30|AZOFRA, IGNACIO|AAP       |Foul Drawn (1)|RV|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||13|07:52|3|31|VUJANIC, MILOS|AUP       |Foul (1)|CM|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||21|07:39|3|32|PATTERSON, ANDRAE|CFE       |Two Pointer (1/1 -  2 pt)|2FGM|2.0|2.0|Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||20|07:18|3|33|DOUGLAS, RUBEN|JJU       |Missed Three Pointer (0/1 -  0 pt)|3FGA|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||24|07:13|3|34|GARCES, RUBEN|JJQ       |Def Rebound (2)|D|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||14|07:11|3|35|JASEN, HERNAN|BIL       |Turnover (1)|TO|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||13|07:04|3|36|VUJANIC, MILOS|AUP       |Turnover (1)|TO|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||14|07:00|3|37|JASEN, HERNAN|BIL       |Turnover (2)|TO|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||14|07:00|3|38|JASEN, HERNAN|BIL       |Dunk (1/1 -  2 pt)|DUNK|4.0|2.0|Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||11|06:51|4|40|BAGARIC, DALIBOR|AFG       |Missed Layup (0/1 -  0 pt)|LAYUPATT|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||21|06:49|4|41|PATTERSON, ANDRAE|CFE       |Def Rebound (2)|D|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||14|06:45|4|42|JASEN, HERNAN|BIL       |Missed Three Pointer (0/2 -  2 pt)|3FGA|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||20|06:42|4|43|DOUGLAS, RUBEN|JJU       |Def Rebound (1)|D|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||5|06:35|4|44|BASILE, GIANLUCA|ADS       |Missed Three Pointer (0/2 -  0 pt)|3FGA|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||21|06:35|4|45|PATTERSON, ANDRAE|CFE       |Def Rebound (3)|D|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||24|06:20|4|46|GARCES, RUBEN|JJQ       |Two Pointer (1/3 -  2 pt)|2FGM|6.0|2.0|Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||10|06:20|4|47|JIMENEZ, CARLOS|AAS       |Assist (1)|AS|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||14|06:05|4|48|JASEN, HERNAN|BIL       |Steal (1)|ST|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||20|06:05|4|49|DOUGLAS, RUBEN|JJU       |Turnover (2)|TO|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||14|05:59|5|51|JASEN, HERNAN|BIL       |Foul Drawn (1)|RV|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||20|05:59|5|52|DOUGLAS, RUBEN|JJU       |Foul (1)|CM|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||8|05:59|5|54|SMODIS, MATJAZ|ALC       |In|IN|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||11|05:59|5|55|BAGARIC, DALIBOR|AFG       |Out|OUT|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||14|05:59|5|56|JASEN, HERNAN|BIL       |Free Throw In (1/1 -  3 pt)|FTM|7.0|2.0|Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
