ACTION|CONSOLE|COORD_X|COORD_Y|FASTBREAK|ID_ACTION|ID_PLAYER|MINUTE|NUM_ANOT|PLAYER|POINTS|POINTS_A|POINTS_B|POINTS_OFF_TURNOVER|SECOND_CHANCE|TEAM|UTC|ZONE|Game
Two Pointer|09:00|276|200||2FGM|PLFW      |1|2|RUBIO, RICKY|2|0|2|||BAR       ||E|0
Three Pointer|09:00|690|-43||3FGM|PCOS      |1|3|SOLOMON, WILLIE|3|3|2|||ULK       ||I|0
Missed Three Pointer|08:00|382|759||3FGA|PADI      |2|6|NAVARRO, JUAN CARLOS|0|3|2|||BAR       ||I|0
Two Pointer|08:00|545|100||2FGM|PCOS      |2|8|SOLOMON, WILLIE|2|5|2|||ULK       ||G|0
Layup Made|08:00|-25|181||LAYUPMD|PJWO      |2|10|MICKEAL, PETE|2|5|4|||BAR       ||B|0
Missed Layup|07:00|-94|125||LAYUPATT|PCOS      |3|12|SOLOMON, WILLIE|0|5|4|||ULK       ||B|0
Layup Made|07:00|-18|94||LAYUPMD|PBWL      |3|16|LORBEK, ERAZEM|2|5|6|||BAR       ||B|0
Missed Two Pointer|07:00|-539|69||2FGA|PAFI      |3|19|GIRICEK, GORDAN|0|5|6|||ULK       ||F|0
Two Pointer|06:00|426|69||2FGM|PAXC      |4|22|VAZQUEZ, FRAN|2|5|8|||BAR       ||E|0
Missed Two Pointer|06:00|31|476||2FGA|PCOS      |4|24|SOLOMON, WILLIE|0|5|8|||ULK       ||G|0
Missed Two Pointer|06:00|-150|244||2FGA|PADI      |4|26|NAVARRO, JUAN CARLOS|0|5|8|||BAR       ||D|0
Free Throw In|05:00|-1|-1||FTM|PJWO      |5|41|MICKEAL, PETE|1|5|9|||BAR       || |0
Free Throw In|05:00|-1|-1||FTM|PJWO      |5|42|MICKEAL, PETE|1|5|10|||BAR       || |0
Two Pointer|05:00|307|464||2FGM|PAXC      |5|43|VAZQUEZ, FRAN|2|5|12|||BAR       ||G|0
