ACTION|CONSOLE|COORD_X|COORD_Y|FASTBREAK|ID_ACTION|ID_PLAYER|MINUTE|NUM_ANOT|PLAYER|POINTS|POINTS_A|POINTS_B|POINTS_OFF_TURNOVER|SECOND_CHANCE|TEAM|UTC|ZONE|Game
Missed Two Pointer|09:00|0|181||2FGAB|P005927   |1|4|AYON, GUSTAVO|0|0|0|||MAD       ||B|0
Missed Three Pointer|08:57|-501|602||3FGA|P005800   |2|9|HONEYCUTT, TYLER|0|0|0|||KHI       ||H|0
Missed Two Pointer|08:56|269|188||2FGA|PAAX      |2|12|REYES, FELIPE|0|0|0|||MAD       ||E|0
Three Pointer|08:36|-163|771||3FGM|PBFX      |2|14|MONIA, SERGEY|3|3|0|||KHI       ||H|0
Three Pointer|08:05|-690|319||3FGM|P005800   |2|18|HONEYCUTT, TYLER|3|6|0|||KHI       ||H|0
Missed Two Pointer|07:42|18|232||2FGAB|PJCC      |3|23|MACIULIS, JONAS|0|6|0|||MAD       ||E|0
Missed Three Pointer|07:36|-539|526||3FGA|P003367   |3|27|RICE, TYRESE|0|6|0|||KHI       ||H|0
Missed Two Pointer|07:29|94|37||2FGA|P003367   |3|29|RICE, TYRESE|0|6|0|||KHI       ||C|0
Three Pointer|07:15|702|370||3FGM|PBMT      |3|33|FERNANDEZ, RUDY|3|6|3|||MAD       ||I|0
Missed Two Pointer|07:02|-12|56||2FGA|P001438   |3|35|AUGUSTINE, JAMES|0|6|3|||KHI       ||B|0
Three Pointer|06:55|457|627||3FGM|PBGV      |4|38|VYALTSEV, EGOR|3|9|3|||KHI       ||I|0
Three Pointer|06:11|-702|263||3FGM|PTGB      |4|47|LLULL, SERGIO|3|9|6|||MAD       ||H|0
Missed Three Pointer|05:56|-614|395||3FGA|PBFX      |5|50|MONIA, SERGEY|0|9|6|||KHI       ||H|0
Missed Three Pointer|05:51|721|232||3FGA|P003367   |5|52|RICE, TYRESE|0|9|6|||KHI       ||I|0
Two Pointer|05:45|-62|106||2FGM|P001438   |5|54|AUGUSTINE, JAMES|2|11|6|||KHI       ||B|0
Missed Three Pointer|05:29|18|777||3FGA|PTGB      |5|57|LLULL, SERGIO|0|11|6|||MAD       ||I|0
Missed Two Pointer|05:09|-112|94||2FGAB|PTGB      |5|63|LLULL, SERGIO|0|11|6|||MAD       ||B|0
Missed Three Pointer|04:46|6|740||3FGA|P004178   |6|70|KOPONEN, PETTERI|0|11|6|||KHI       ||I|0
Two Pointer|04:18|-6|144||2FGM|P004178   |6|82|KOPONEN, PETTERI|2|13|6|||KHI       ||B|0
Two Pointer|03:52|31|426||2FGM|PBMT      |7|84|FERNANDEZ, RUDY|2|13|8|||MAD       ||G|0
Missed Three Pointer|03:31|483|558||3FGA|P004178   |7|85|KOPONEN, PETTERI|0|13|8|||KHI       ||I|0
Two Pointer|03:15|25|370||2FGM|P005927   |7|87|AYON, GUSTAVO|2|13|10|||MAD       ||E|0
Two Pointer|02:49|-37|138||2FGM|P001612   |8|95|TODOROVIC, MARKO|2|15|10|||KHI       ||B|0
Two Pointer|02:29|138|232||2FGM|P005927   |8|97|AYON, GUSTAVO|2|15|12|||MAD       ||E|0
Missed Two Pointer|02:07|-100|106||2FGAB|P001612   |8|98|TODOROVIC, MARKO|0|15|12|||KHI       ||B|0
Two Pointer|02:01|-81|144||2FGM|P001438   |8|102|AUGUSTINE, JAMES|2|17|12|||KHI       ||B|0
Missed Three Pointer|01:55|6|708||3FGA|PBMT      |9|104|FERNANDEZ, RUDY|0|17|12|||MAD       ||I|0
Two Pointer|01:36|0|225||2FGM|P001612   |9|106|TODOROVIC, MARKO|2|19|12|||KHI       ||B|0
Missed Two Pointer|01:08|56|156||2FGA|P005927   |9|114|AYON, GUSTAVO|0|19|12|||MAD       ||C|0
Missed Two Pointer|01:03|12|213||2FGA|P003514   |9|116|DRAGIC, ZORAN|0|19|12|||KHI       ||C|0
Two Pointer|00:56|-169|119||2FGM|PBMT      |10|119|FERNANDEZ, RUDY|2|19|14|||MAD       ||B|0
Missed Three Pointer|00:36|232|702||3FGA|P003514   |10|121|DRAGIC, ZORAN|0|19|14|||KHI       ||I|0
Missed Two Pointer|00:18|-106|163||2FGAB|PCVM      |10|123|RODRIGUEZ, SERGIO|0|19|14|||MAD       ||B|0
Missed Two Pointer|00:13|370|269||2FGA|P005836   |10|129|THOMPKINS, TREY|0|19|14|||MAD       ||G|0
Two Pointer|00:03|-94|163||2FGM|PKVZ      |10|131|SHVED, ALEXEY|2|21|14|||KHI       ||B|0
Missed Two Pointer|09:54|395|169||2FGA|PKVZ      |11|137|SHVED, ALEXEY|0|21|14|||KHI       ||E|0
Two Pointer|09:44|-395|213||2FGM|P002934   |11|143|DAVIS, PAUL|2|23|14|||KHI       ||F|0
Missed Three Pointer|09:25|464|627||3FGA|P001960   |11|144|CARROLL, JAYCEE|0|23|14|||MAD       ||I|0
Missed Two Pointer|09:25|-169|219||2FGA|P002934   |11|147|DAVIS, PAUL|0|23|14|||KHI       ||D|0
Two Pointer|09:25|-106|131||2FGM|P003196   |11|149|HERNANGOMEZ, WILLY|2|23|16|||MAD       ||B|0
Two Pointer|08:55|25|301||2FGM|P001612   |12|153|TODOROVIC, MARKO|2|25|16|||KHI       ||E|0
Missed Two Pointer|08:34|-18|163||2FGA|P003196   |12|155|HERNANGOMEZ, WILLY|0|25|16|||MAD       ||B|0
Free Throw In|08:13|-1|-1||FTM|PKVZ      |12|164|SHVED, ALEXEY|1|26|16|||KHI       || |0
Missed Two Pointer|07:42|-100|150||2FGA|P001612   |13|169|TODOROVIC, MARKO|0|26|16|||KHI       ||B|0
Missed Two Pointer|07:33|81|213||2FGAB|P003196   |13|171|HERNANGOMEZ, WILLY|0|26|16|||MAD       ||C|0
Missed Two Pointer|07:28|-144|150||2FGA|P002934   |13|176|DAVIS, PAUL|0|26|16|||KHI       ||B|0
Free Throw In|07:09|-1|-1||FTM|P005929   |13|180|DONCIC, LUKA|1|26|17|||MAD       || |0
Free Throw In|07:09|-1|-1||FTM|P005929   |13|181|DONCIC, LUKA|1|26|18|||MAD       || |0
Missed Three Pointer|07:00|658|326||3FGAB|P005836   |13|183|THOMPKINS, TREY|0|26|18|||MAD       ||I|0
Two Pointer|06:43|-94|232||2FGM|P001612   |14|188|TODOROVIC, MARKO|2|28|18|||KHI       ||D|0
Two Pointer|06:19|6|257||2FGM|P003196   |14|190|HERNANGOMEZ, WILLY|2|28|20|||MAD       ||E|0
Two Pointer|06:10|307|150||2FGM|PKVZ      |14|192|SHVED, ALEXEY|2|30|20|||KHI       ||E|0
Missed Three Pointer|05:49|-388|602||3FGA|PCVM      |15|202|RODRIGUEZ, SERGIO|0|30|20|||MAD       ||H|0
Missed Two Pointer|05:43|50|301||2FGAB|P003196   |15|204|HERNANGOMEZ, WILLY|0|30|20|||MAD       ||E|0
Missed Two Pointer|05:37|131|194||2FGAB|PKVZ      |15|208|SHVED, ALEXEY|0|30|20|||KHI       ||C|0
Free Throw In|05:30|-1|-1||FTM|P003196   |15|218|HERNANGOMEZ, WILLY|1|30|21|||MAD       || |0
Two Pointer|05:17|-56|175||2FGM|P001438   |15|222|AUGUSTINE, JAMES|2|32|21|||KHI       ||B|0
Missed Three Pointer|04:54|-357|664||3FGA|PCVM      |16|225|RODRIGUEZ, SERGIO|0|32|21|||MAD       ||H|0
Three Pointer|04:50|583|533||3FGM|PTGB      |16|227|LLULL, SERGIO|3|32|24|||MAD       ||I|0
Three Pointer|04:36|627|483||3FGM|PKVZ      |16|228|SHVED, ALEXEY|3|35|24|||KHI       ||I|0
Missed Three Pointer|04:16|432|633||3FGA|PTGB      |16|229|LLULL, SERGIO|0|35|24|||MAD       ||I|0
Missed Three Pointer|04:01|-150|752||3FGA|PBFX      |16|231|MONIA, SERGEY|0|35|24|||KHI       ||H|0
Two Pointer|03:52|0|175||2FGM|PCVM      |17|234|RODRIGUEZ, SERGIO|2|35|26|||MAD       ||B|0
Missed Three Pointer|03:41|-351|646||3FGA|P003367   |17|238|RICE, TYRESE|0|35|26|||KHI       ||H|0
Missed Three Pointer|03:07|-520|539||3FGA|PAPR      |17|241|NOCIONI, ANDRES|0|35|26|||MAD       ||H|0
Two Pointer|02:53|156|106||2FGM|P001438   |18|244|AUGUSTINE, JAMES|2|37|26|||KHI       ||C|0
Two Pointer|02:09|106|175||2FGM|PBFX      |18|253|MONIA, SERGEY|2|39|26|||KHI       ||C|0
Two Pointer|01:51|363|244||2FGM|P003196   |19|255|HERNANGOMEZ, WILLY|2|39|28|||MAD       ||E|0
Missed Two Pointer|01:34|445|156||2FGA|P004178   |19|257|KOPONEN, PETTERI|0|39|28|||KHI       ||G|0
Two Pointer|01:17|-31|181||2FGM|P004178   |19|259|KOPONEN, PETTERI|2|41|28|||KHI       ||B|0
Two Pointer|01:01|-388|156||2FGM|P001960   |19|260|CARROLL, JAYCEE|2|41|30|||MAD       ||D|0
Missed Two Pointer|00:46|-382|294||2FGA|PBGV      |20|262|VYALTSEV, EGOR|0|41|30|||KHI       ||F|0
Two Pointer|00:42|31|138||2FGM|P001438   |20|264|AUGUSTINE, JAMES|2|43|30|||KHI       ||C|0
Free Throw In|00:31|-1|-1||FTM|PTGB      |20|267|LLULL, SERGIO|1|43|31|||MAD       || |0
Free Throw In|00:31|-1|-1||FTM|PTGB      |20|268|LLULL, SERGIO|1|43|32|||MAD       || |0
Missed Two Pointer|00:07|501|106||2FGA|PBGV      |20|269|VYALTSEV, EGOR|0|43|32|||KHI       ||G|0
Missed Three Pointer|00:03|501|577||3FGA|PTGB      |20|271|LLULL, SERGIO|0|43|32|||MAD       ||I|0
Missed Three Pointer|09:49|501|539||3FGA|PBMT      |21|285|FERNANDEZ, RUDY|0|43|32|||MAD       ||I|0
Free Throw In|09:37|-1|-1||FTM|PJCC      |21|290|MACIULIS, JONAS|1|43|33|||MAD       || |0
Free Throw In|09:37|-1|-1||FTM|PJCC      |21|292|MACIULIS, JONAS|1|43|34|||MAD       || |0
Missed Two Pointer|09:11|-43|294||2FGAB|P003367   |21|293|RICE, TYRESE|0|43|34|||KHI       ||D|0
Three Pointer|09:04|-451|633||3FGM|PJCC      |21|297|MACIULIS, JONAS|3|43|37|||MAD       ||H|0
Three Pointer|08:22|-169|759||3FGM|PBFX      |22|303|MONIA, SERGEY|3|46|37|||KHI       ||H|0
Missed Two Pointer|08:03|-50|520||2FGA|PTGB      |22|307|LLULL, SERGIO|0|46|37|||MAD       ||F|0
Three Pointer|07:48|702|276||3FGM|PBGV      |23|310|VYALTSEV, EGOR|3|49|37|||KHI       ||I|0
Free Throw In|07:17|-1|-1||FTM|P005927   |23|318|AYON, GUSTAVO|1|49|38|||MAD       || |0
Missed Three Pointer|06:53|56|821||3FGA|PBFX      |24|324|MONIA, SERGEY|0|49|38|||KHI       ||I|0
Two Pointer|06:40|112|144||2FGM|P003367   |24|326|RICE, TYRESE|2|51|38|||KHI       ||C|0
Free Throw In|06:22|-1|-1||FTM|PAAX      |24|329|REYES, FELIPE|1|51|39|||MAD       || |0
Free Throw In|06:22|-1|-1||FTM|PAAX      |24|330|REYES, FELIPE|1|51|40|||MAD       || |0
Three Pointer|06:10|345|752||3FGM|P004178   |24|331|KOPONEN, PETTERI|3|54|40|||KHI       ||I|0
Missed Two Pointer|05:43|338|257||2FGA|PTGB      |25|333|LLULL, SERGIO|0|54|40|||MAD       ||E|0
Missed Two Pointer|05:23|18|69||2FGA|P001438   |25|335|AUGUSTINE, JAMES|0|54|40|||KHI       ||C|0
Three Pointer|05:13|-457|621||3FGM|PJCC      |25|337|MACIULIS, JONAS|3|54|43|||MAD       ||H|0
Two Pointer|04:51|-313|319||2FGM|PBFX      |26|340|MONIA, SERGEY|2|56|43|||KHI       ||F|0
Two Pointer|04:33|37|194||2FGM|P003367   |26|344|RICE, TYRESE|2|58|43|||KHI       ||C|0
Free Throw In|04:59|-1|-1||FTM|P003367   |26|358|RICE, TYRESE|1|59|43|||KHI       || |0
Missed Three Pointer|04:05|-633|539||3FGA|PBMT      |26|360|FERNANDEZ, RUDY|0|59|43|||MAD       ||H|0
Missed Two Pointer|03:34|69|175||2FGA|P002934   |27|367|DAVIS, PAUL|0|59|43|||KHI       ||C|0
Two Pointer|03:27|12|138||2FGM|PJCC      |27|369|MACIULIS, JONAS|2|59|45|||MAD       ||C|0
Missed Two Pointer|03:11|-106|138||2FGA|P002934   |27|370|DAVIS, PAUL|0|59|45|||KHI       ||B|0
Two Pointer|03:01|150|269||2FGM|PCVM      |27|372|RODRIGUEZ, SERGIO|2|59|47|||MAD       ||E|0
Missed Three Pointer|02:38|-577|483||3FGA|P003514   |28|374|DRAGIC, ZORAN|0|59|47|||KHI       ||H|0
Missed Two Pointer|01:58|-163|219||2FGA|PCVM      |29|383|RODRIGUEZ, SERGIO|0|59|47|||MAD       ||D|0
Free Throw In|01:40|-1|-1||FTM|P001612   |29|387|TODOROVIC, MARKO|1|60|47|||KHI       || |0
Free Throw In|01:40|-1|-1||FTM|P001612   |29|389|TODOROVIC, MARKO|1|61|47|||KHI       || |0
Missed Two Pointer|01:21|-169|119||2FGA|PBMT      |29|390|FERNANDEZ, RUDY|0|61|47|||MAD       ||B|0
Free Throw In|00:33|-1|-1||FTM|P005836   |30|413|THOMPKINS, TREY|1|61|48|||MAD       || |0
Free Throw In|00:33|-1|-1||FTM|P005836   |30|414|THOMPKINS, TREY|1|61|49|||MAD       || |0
Missed Three Pointer|00:01|508|652||3FGA|PBMT      |30|417|FERNANDEZ, RUDY|0|61|49|||MAD       ||I|0
Free Throw In|09:51|-1|-1||FTM|P003367   |31|429|RICE, TYRESE|1|62|49|||KHI       || |0
Missed Three Pointer|09:42|351|677||3FGA|P001960   |31|432|CARROLL, JAYCEE|0|62|49|||MAD       ||I|0
Two Pointer|09:01|25|257||2FGM|PTGB      |31|435|LLULL, SERGIO|2|62|51|||MAD       ||E|0
Free Throw In|09:01|-1|-1||FTM|PTGB      |31|439|LLULL, SERGIO|1|62|52|||MAD       || |0
Free Throw In|08:43|-1|-1||FTM|PTGB      |32|447|LLULL, SERGIO|1|62|53|||MAD       || |0
Free Throw In|08:43|-1|-1||FTM|PTGB      |32|448|LLULL, SERGIO|1|62|54|||MAD       || |0
Missed Two Pointer|08:25|56|495||2FGA|PKVZ      |32|449|SHVED, ALEXEY|0|62|54|||KHI       ||G|0
Free Throw In|08:23|-1|-1||FTM|P001612   |32|455|TODOROVIC, MARKO|1|63|54|||KHI       || |0
Two Pointer|08:19|-25|338||2FGM|PKVZ      |32|456|SHVED, ALEXEY|2|65|54|||KHI       ||D|0
Three Pointer|07:43|319|671||3FGM|PKVZ      |33|460|SHVED, ALEXEY|3|68|54|||KHI       ||I|0
Missed Two Pointer|07:24|-301|269||2FGA|P005836   |33|463|THOMPKINS, TREY|0|68|54|||MAD       ||D|0
Missed Two Pointer|07:10|69|94||2FGAB|PKVZ      |33|465|SHVED, ALEXEY|0|68|54|||KHI       ||C|0
Two Pointer|07:06|-75|138||2FGM|P001612   |33|469|TODOROVIC, MARKO|2|70|54|||KHI       ||B|0
Two Pointer|06:50|0|232||2FGM|P005836   |34|471|THOMPKINS, TREY|2|70|56|||MAD       ||D|0
Missed Two Pointer|06:23|-75|163||2FGA|P003367   |34|473|RICE, TYRESE|0|70|56|||KHI       ||B|0
Missed Three Pointer|06:08|-470|602||3FGA|P004178   |34|475|KOPONEN, PETTERI|0|70|56|||KHI       ||H|0
