PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
ALEN OMIC;BUD       ;19;129;511;4;264;32;147;65;391;57;425;28;139
KALEB TARCZEWSKI;MIL       ;19;87;423;0;273;39;175;62;376;48;357;24;132
EARL CLARK;BUD       ;19;225;831;103;403;55;284;86;607;22;697;43;240
JEFF BROOKS;MIL       ;19;88;697;48;465;24;381;111;612;42;632;24;199
MIKE JAMES;MIL       ;19;253;959;215;653;178;567;103;870;11;881;77;294
AARON CRAFT;BUD       ;19;7;81;2;31;0;11;3;49;4;73;5;25
COTY CLARKE;BUD       ;19;131;677;36;305;38;220;95;505;29;558;27;190
NEMANJA NEDOVIC;MIL       ;19;58;325;70;247;31;170;34;314;3;308;32;99
NEMANJA GORDIC;BUD       ;19;146;647;79;367;42;241;42;495;9;579;53;205
VLADIMIR MICOV;MIL       ;19;185;891;142;599;81;517;82;812;15;804;42;255
ARTURAS GUDAITIS;MIL       ;19;122;440;0;331;133;312;80;428;70;446;27;142
NIKOLA IVANOVIC;BUD       ;19;23;158;27;103;11;49;8;111;7;150;7;35
ZORAN NIKOLIC;BUD       ;19;5;41;0;19;4;12;3;20;5;38;2;6
EDWIN JACKSON;BUD       ;19;118;779;119;450;40;290;55;610;21;682;46;227
CURTIS JERRELLS;MIL       ;19;66;391;102;299;28;238;27;366;4;380;25;134
MINDAUGAS KUZMINSKAS;MIL       ;19;107;466;64;332;64;295;60;440;38;434;28;148
AMEDEO DELLA VALLE;MIL       ;19;6;54;14;50;4;54;5;71;4;57;2;16
DAIRIS BERTANS;MIL       ;19;25;335;69;247;17;207;16;302;6;317;7;100
PETAR POPOVIC;BUD       ;19;59;309;24;124;20;110;14;227;5;243;15;85
FILIP BAROVIC;BUD       ;19;92;340;0;180;57;125;43;251;27;322;24;108
DANILO NIKOLIC;BUD       ;19;47;363;59;224;20;150;37;283;24;324;10;94
CHRISTIAN BURNS;MIL       ;19;9;47;1;26;6;39;6;45;5;45;2;10
OTHELLO HUNTER;CSK       ;19;189;630;0;321;51;282;83;505;66;497;26;184
ANTE TOMIC;BAR       ;19;237;698;0;351;98;294;106;577;70;589;57;228
NANDO DE COLO;CSK       ;19;175;790;129;431;112;432;60;629;16;644;66;234
VICTOR CLAVER;BAR       ;19;72;715;56;386;56;301;81;616;30;623;28;232
DANIEL HACKETT;CSK       ;19;89;564;47;276;75;337;48;472;10;455;32;154
THOMAS HEURTEL;BAR       ;19;207;763;80;362;73;318;57;596;9;613;81;238
PAU RIBAS;BAR       ;19;44;436;87;259;15;224;42;369;7;380;28;159
ALEC PETERS;CSK       ;19;59;576;89;296;28;288;69;474;22;440;21;170
NIKITA KURBANOV;CSK       ;19;59;534;45;309;48;295;78;456;35;433;25;171
CHRIS SINGLETON;BAR       ;19;127;865;119;459;62;385;121;711;33;719;38;252
ANDREY VORONTSEVICH;CSK       ;19;13;192;33;112;8;82;21;161;9;169;6;58
KYLE HINES;CSK       ;19;170;661;0;372;81;364;59;568;62;565;34;196
SERGIO RODRIGUEZ;CSK       ;19;120;752;164;421;37;329;42;587;9;622;72;226
WILL CLYBURN;CSK       ;19;231;918;89;470;144;514;170;751;58;752;47;248
KEVIN SERAPHIN;BAR       ;19;152;398;0;188;42;160;59;306;37;312;45;123
KYLE KURIC;BAR       ;19;88;631;136;373;37;301;49;542;24;555;22;217
CORY HIGGINS;CSK       ;19;202;752;96;408;112;409;47;662;17;635;40;213
KEVIN PANGOS;BAR       ;19;116;660;104;420;58;319;34;590;6;609;53;212
PIERRE ORIOLA;BAR       ;19;105;575;45;346;62;283;76;514;47;531;22;204
JAKA BLAZIC;BAR       ;19;55;340;31;174;47;193;37;303;20;286;13;100
SEMEN ANTONOV;CSK       ;19;19;174;15;80;9;70;10;129;12;154;0;41
ARTEM PUSTOVYI;BAR       ;19;18;62;0;47;13;44;6;62;9;56;3;22
IVAN UKHOV;CSK       ;19;11;66;5;32;1;45;9;65;1;47;5;30
ROLANDS SMITS;BAR       ;19;27;131;27;120;11;72;20;140;8;140;9;54
JAMES GIST;PAN       ;19;153;762;23;329;85;333;63;574;52;612;35;190
TARIK BLACK;TEL       ;19;166;563;1;344;79;241;85;471;56;521;37;180
KEITH LANGFORD;PAN       ;19;149;556;64;229;74;243;47;440;8;440;22;117
NICK CALATHES;PAN       ;19;268;1144;147;488;72;431;126;878;17;897;102;295
SCOTTIE WILBEKIN;TEL       ;19;119;716;198;490;70;243;43;591;10;668;48;209
DEANDRE KANE;TEL       ;19;109;636;71;405;54;244;63;508;32;590;31;187
