player;height;position;year_born;nationality
ALBERTO ABALDE;2.02;Forward;1995;Spain
AWUDU ABASS;1.98;Guard;1993;Italy
ALI ATA ABATAY;;;1994;Turkey
ALESSANDRO ABBIO;1.91;Guard;1971;Italy
MAHMOUD ABDUL-RAUF;1.82;Guard;1969;United States of America
MUSTAFA ABI;1.97;Forward;1979;Turkey
LARRY ABIA;1.95;Forward;1993;Spain
AMADOU ABOUBAKAR ZAKI;2.14;Center;1988;Niger
JORDAN ABOUDOU;2.03;Forward;1991;France
DANYA ABRAMS;2.01;Forward;1974;United States of America
ALEX ABRINES;1.98;Forward;1993;Spain
TIM ABROMAITIS;2.03;Forward;1989;United States of America
TUTKU ACIK;;Guard;1980;Turkey
ALEX ACKER;1.95;Guard;1983;United States of America
QUINCY ACY;2.01;Forward;1990;United States of America
ANDRZEJ ADAMEK;1.92;Guard;1975;Poland
DARIUS ADAMS;1.89;Guard;1989;United States of America
JOSH ADAMS;1.88;Guard;1993;United States of America
THOMAS ADAMS;2.03;Forward;1969;United States of America
ANDREW ADELEKE;2.05;Forward;1983;Nigeria
ARSENE ADE-MENSAH;1.82;Guard;1971;France
ULYSSE ADJAGBA;1.84;Guard;1993;France
FREDERIC ADJIWANOU;2.04;Forward;1980;France
DAINIUS ADOMAITIS;;Forward;1974;Lithuania
LAZAROS AGADAKOS;2.07;Center;1980;Greece
DIMITRIS AGRAVANIS;2.08;Forward;1994;Greece
XIARCHOS AGRON;2.12;Center;1981;Montenegro
PABLO AGUILAR;2.05;Forward;1989;Spain
BLAKE AHEARN;1.88;Guard;1984;United States of America
ALEXIS AJINCA;2.15;Center;1988;France
JONATHAN AKA;1.94;Forward;1986;France
MERT AKAY;1.96;Guard;2000;Turkey
FIKRET CAN AKIN;1.90;Guard;1983;Turkey
JELEEL AKINDELE;2.16;Center;1983;Nigeria
AKIN AKINGBALA;2.09;Center;1983;Nigeria
JOSH AKOGNON;1.80;Guard;1986;United States of America
ISMET AKPINAR;1.93;Guard;1995;Germany
CRISTIAN AKRIVOS;2.00;;1753;Italy
CENK AKYOL;1.97;Forward;1987;Turkey
VLADAN ALANOVIC;1.90;Guard;1967;Croatia
COREY ALBANO;2.05;Forward;1975;Italy
EIDAN ALBER;1.94;Guard;2000;Israel
ANDREW ALBICY;1.78;Guard;1990;France
FURKAN ALDEMIR;2.07;Center;1991;Turkey
NEMANJA ALEKSANDROV;2.10;Center;1987;Serbia
ANDRIUS ALEKSANDROVAS;1.96;Forward;1986;Lithuania
MILUTIN ALEKSIC;2.02;Forward;1982;Serbia
VUKASIN ALEKSIC;1.85;Guard;1985;Serbia
CORY ALEXANDER;1.85;Guard;1973;United States of America
JOE ALEXANDER;2.03;Forward;1986;Israel
VICTOR ALEXANDER;2.08;Center;1969;United States of America
NIKOLAI ALEXEEV;2.09;Guard;1978;Belarus
WENDELL ALEXIS;2.03;Forward;1964;United States of America
DZEVAD ALIHODZIC;2.08;Center;1969;Croatia
ROLANDAS ALIJEVAS;1.92;Guard;1985;Lithuania
JEROME ALLEN;1.92;Guard;1973;United States of America
THEODORE ALLEN;2.07;;1972;United States of America
CLEMENT ALLERME;1.85;Guard;1989;France
PABLO ALMAZAN;2.00;Forward;1990;Spain
CARLOS ALOCEN;1.94;Guard;2000;Spain
ALVARO ALONSO;1.96;;1980;Spain
ASIER ALONSO;;;1984;Spain
DERRICK ALSTON;2.08;Center;1972;United States of America
CAN ALTINTIG;1.95;Guard;1987;Turkey
BEN ALTIT;2.08;Forward;1993;Israel
FRAGISKOS ALVERTIS;;Forward;1974;Greece
ALFONS ALZAMORA;2.06;Center;1979;Spain
JOSE AMADOR;;;1983;Spain
PAPE-PHILIPPE AMAGOU;1.84;Guard;1985;France
ROBIN AMAIZE;1.88;Forward;1994;Germany
ANDREA AMATO;1.90;Guard;1994;Italy
ASHRAF OMAR AMAYA;;;1971;United States of America
FABRIZIO AMBRASSA;1.97;Forward;1969;Italy
ALOYSIUS ANAGONYE;2.03;Forward;1981;United States of America
DAVID ANDERSEN;2.12;Center;1980;Denmark
MICHAEL ANDERSEN;2.13;Center;1976;Denmark
ALAN ANDERSON;1.98;Forward;1982;United States of America
JAMES ANDERSON;1.98;Forward;1989;United States of America
KENNETH ANDERSON;1.83;Guard;1970;United States of America
LUKE ANDERSON;1.95;Forward;1982;United States of America
DANILO ANDJUSIC;1.94;Guard;1991;Serbia
ALEXANDER ANDREEV;2.08;;1991;Germany
LUKSA ANDRIC;2.10;Center;1985;Croatia
MIHAJLO ANDRIC;2.02;Forward;1994;Serbia
MARTYNAS ANDRIUKAITIS;2.03;;1981;Lithuania
MARTYNAS ANDRIUSKEVICIUS;2.17;Center;1986;Lithuania
LUKA ANDUSIC;1.94;;1990;
DIMOSTHENIS ANGELOPOULOS;2.10;;1984;Greece
ALBERTO ANGULO;1.91;Guard;1970;Spain
LUCIO ANGULO;1.98;Forward;1973;Spain
KOSTIANTYN ANIKIIENKO;2.18;Center;1992;Ukraine
MICHAILIS ANISIMOV;2.16;Center;1984;Lithuania
SERDAR ANNAEV;1.80;;1994;Russian Federation
JOSE ANGEL ANTELO;2.07;;1987;Spain
THANASIS ANTETOKOUNMPO;2.00;Forward;1992;Greece
PAVLE ANTIC;;;1989;Serbia
PERO ANTIC;2.11;Center;1982;Serbia
PAVEL ANTIPOV;2.02;Forward;1991;Russian Federation
MARKO ANTONIJEVIC;1.90;Guard;1981;Slovenia
SEMEN ANTONOV;2.02;Forward;1989;Russian Federation
VLADIMIR ANZULOVIC;1.86;Guard;1978;Croatia
ANGEL APARICIO;1.97;Forward;1992;Spain
