Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Fabien Causeur;36;18.1;2.5;4.7;529;0.8;1.9;441;1.7;2.8;588;1.0;1.4;712;0.4;1.2;1.6;1.9;0.4;0.1;1.0;1.4;6.9;Real Madrid;18
Jaycee Carroll;36;16.0;3.3;6.5;513;1.5;3.3;458;1.8;3.2;569;1.3;1.3;957;0.2;0.6;0.9;0.5;0.3;0.2;0.6;1.5;9.4;Real Madrid;18
Felipe Reyes;35;15.5;2.8;4.9;582;0.1;0.2;429;2.7;4.7;589;2.6;3.3;793;1.7;2.6;4.3;0.8;0.2;0.2;1.2;2.4;8.4;Real Madrid;18
Jeffery Taylor;34;20.6;2.0;4.7;419;0.7;2.1;352;1.2;2.6;472;1.2;1.8;700;0.8;1.1;1.9;1.2;0.5;0.1;0.7;2.1;5.9;Real Madrid;18
Luka Doncic;33;25.9;4.7;10.5;451;1.7;5.2;329;3.0;5.2;572;4.8;5.9;816;0.8;4.0;4.8;4.3;1.1;0.3;2.3;1.5;16.0;Real Madrid;18
Rudy Fernandez;31;19.4;2.1;5.6;382;1.5;4.0;371;0.6;1.6;408;1.6;1.9;879;0.7;1.8;2.5;2.6;0.7;0.2;0.8;1.5;7.4;Real Madrid;18
Facundo Campazzo;30;23.1;2.7;6.7;396;1.4;3.6;376;1.3;3.1;419;1.2;1.4;833;0.2;2.2;2.4;4.5;1.4;0.1;2.0;2.6;7.9;Real Madrid;18
Trey Thompkins;29;21.2;3.4;7.1;483;1.4;3.4;420;2.0;3.6;543;1.2;1.4;857;0.9;4.2;5.1;1.1;0.7;0.3;0.8;1.9;9.5;Real Madrid;18
Walter Tavares;29;17.4;2.6;3.8;682;0.0;0.0;0;2.6;3.8;682;1.3;2.1;623;2.2;3.1;5.3;0.5;0.4;1.5;0.8;2.6;6.5;Real Madrid;18
Chasson Randle;23;7.6;1.0;2.2;440;0.4;0.9;450;0.6;1.3;433;0.3;0.3;750;0.1;0.4;0.5;1.0;0.2;0.0;0.3;1.2;2.6;Real Madrid;18
Jonas Maciulis;22;12.9;1.0;2.8;377;0.6;2.0;302;0.5;0.8;556;0.3;0.4;875;0.4;1.4;1.8;0.4;0.5;0.1;0.4;1.5;3.0;Real Madrid;18
Anthony Randolph;21;18.0;3.2;6.9;472;0.7;2.1;311;2.6;4.7;545;1.1;1.7;657;1.3;2.4;3.8;1.2;0.7;0.3;0.9;1.4;8.2;Real Madrid;18
Gustavo Ayon;18;23.0;3.9;6.8;577;0.0;0.0;0;3.9;6.8;577;1.4;2.4;581;1.9;3.9;5.8;2.8;1.4;0.8;1.4;2.5;9.3;Real Madrid;18
Santi Yusta;16;6.8;0.9;1.9;484;0.2;0.7;273;0.8;1.3;600;0.3;0.4;714;0.4;0.6;0.9;0.8;0.1;0.1;0.4;1.0;2.4;Real Madrid;18
Dino Radoncic;7;6.4;0.4;1.3;333;0.1;0.9;167;0.3;0.4;667;0.0;0.0;0;0.0;0.4;0.4;0.1;0.1;0.0;0.3;0.9;1.0;Real Madrid;18
Sergio Llull;4;18.0;3.3;9.0;361;2.3;6.0;375;1.0;3.0;333;1.3;2.5;500;0.0;0.5;0.5;4.5;0.5;0.0;1.0;2.8;10.0;Real Madrid;18
