PLAYER;TEAM;Games;Season;C3R;C3R_A;E3R;E3R_A;Ce3R;Ce3R_A;Ce3L;Ce3L_A;E3L;E3L_A;C3L;C3L_A;MBR;MBR_A;MER;MER_A;MEL;MEL_A;MBL;MBL_A;PR;PR_A;PC;PC_A;PL;PL_A
ALBERTO ABALDE;PAM       ;23;18;0;1;12;24;1;4;4;5;10;15;1;3;2;6;9;18;4;7;5;11;12;20;5;13;5;11
AWUDU ABASS;MIL       ;5;18;0;1;0;2;0;1;0;0;0;1;1;3;1;1;0;0;0;0;0;1;0;1;1;3;0;1
JOSH ADAMS;IST       ;15;18;1;1;5;15;2;5;3;7;4;7;1;4;2;4;1;3;1;4;1;1;8;11;5;10;2;3
DIMITRIOS AGRAVANIS;OLY       ;7;18;0;0;1;4;0;0;0;0;2;9;0;0;0;0;1;2;1;3;0;0;0;1;3;4;1;1
JAMES ANDERSON;KHI       ;31;18;3;7;16;47;4;10;1;7;14;36;2;7;3;4;4;12;9;23;6;13;13;18;22;33;7;9
THANASIS ANTETOKOUNMPO;PAN       ;31;18;0;2;3;9;0;0;0;0;1;2;0;1;0;0;1;5;0;0;0;2;22;30;14;24;6;14
PERO ANTIC;RED       ;18;18;1;6;6;21;3;6;4;15;2;17;4;6;2;6;1;2;1;5;1;4;4;4;1;3;2;4
SEMEN ANTONOV;CSK       ;29;18;4;6;6;14;1;5;4;6;4;12;1;7;6;8;3;8;2;2;3;7;7;9;8;12;3;7
DRAGAN APIC;RED       ;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
MARTYNAS ARLAUSKAS;ZAL       ;3;18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
EGEHAN ARNA;ULK       ;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
ZACH AUGUSTE;PAN       ;8;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;5;7;1;3
JAMES AUGUSTINE;MAL       ;28;18;0;0;0;2;0;1;0;1;0;0;0;1;3;10;1;4;4;8;16;30;20;25;30;40;42;59
GUSTAVO AYON;MAD       ;18;18;0;0;0;0;0;0;0;0;0;0;0;0;3;9;4;10;4;4;2;3;29;41;19;37;10;19
DOGUS BALBAY;IST       ;14;18;1;1;0;5;0;2;0;0;0;1;0;1;1;3;1;5;1;4;1;1;3;9;2;6;4;12
BIRKAN BATUK;IST       ;16;18;1;5;4;10;0;3;0;0;2;4;1;4;1;1;0;0;0;0;0;1;1;2;0;0;1;1
RODRIGUE BEAUBOIS;BAS       ;33;18;4;10;17;36;8;21;6;15;15;46;3;6;9;20;3;16;7;13;7;11;36;53;24;40;18;28
DAIRIS BERTANS;MIL       ;28;18;6;11;7;18;7;16;9;21;9;25;6;17;3;7;2;9;1;3;4;7;6;11;3;7;2;3
ONURALP BITIM;IST       ;3;18;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0
MILKO BJELICA;RED       ;29;18;4;10;8;25;1;11;3;15;8;23;2;3;2;3;3;10;2;9;2;13;22;41;23;46;13;26
GEORGIOS BOGRIS;OLY       ;8;18;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;3;1;5;0;0;0;1;2;3;2;3
JONAH BOLDEN;TEL       ;29;18;1;2;7;24;3;9;4;11;8;20;0;6;4;11;1;1;3;10;2;4;5;8;33;43;6;9
DEE BOST;ZAL       ;5;18;0;0;0;1;0;1;0;1;1;1;0;1;1;2;0;0;1;2;0;0;1;1;0;2;0;0
JEFF BROOKS;MAL       ;26;18;2;5;3;12;2;5;3;8;5;10;2;4;10;24;4;20;6;13;3;6;13;25;25;33;12;15
BOBBY BROWN;OLY       ;9;18;0;0;0;4;0;7;0;1;1;6;1;1;1;1;3;5;0;3;0;1;0;0;0;2;0;0
DERRICK BROWN;IST       ;19;18;0;1;2;4;2;9;3;5;4;9;0;0;5;16;4;9;2;11;9;29;2;9;13;21;8;12
NICK CALATHES;PAN       ;31;18;1;2;4;21;10;29;6;23;11;37;2;3;5;18;20;41;16;41;5;11;30;44;38;60;32;47
FACUNDO CAMPAZZO;MAD       ;29;18;4;4;9;26;4;15;5;22;17;33;2;5;5;11;5;13;5;17;0;4;6;16;9;19;9;14
JAYCEE CARROLL;MAD       ;36;18;2;3;22;46;6;11;7;13;15;41;2;2;9;20;15;29;10;20;4;5;11;14;14;21;3;8
FABIEN CAUSEUR;MAD       ;36;18;10;14;14;32;2;6;2;4;2;12;1;1;2;5;6;12;5;9;0;6;7;11;15;24;24;34
ANDREA CINCIARINI;MIL       ;21;18;1;3;3;5;4;5;0;5;0;0;1;1;0;4;1;4;4;8;4;9;10;12;3;9;7;11
VICTOR CLAVER;BAR       ;21;18;2;5;3;7;1;6;5;8;6;14;2;6;1;2;0;5;0;2;1;2;5;8;13;21;3;7
WILL CLYBURN;CSK       ;35;18;4;10;11;26;5;9;1;6;8;21;4;8;6;22;1;18;5;23;3;14;39;74;33;56;22;37
JAKE COHEN;TEL       ;15;18;0;0;2;4;0;2;1;1;1;1;0;0;0;2;0;2;1;2;0;1;1;2;6;9;2;5
NORRIS COLE;TEL       ;28;18;0;2;3;15;5;16;5;15;9;19;0;2;5;16;18;46;15;48;10;23;11;14;39;84;12;16
MARCO CUSIN;MIL       ;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
NEMANJA DANGUBIC;RED       ;18;18;2;2;8;15;3;6;2;3;6;14;1;5;1;2;2;7;2;6;1;4;10;13;5;10;3;9
LUIGI DATOME;ULK       ;35;18;12;23;13;33;4;11;7;13;11;26;4;9;18;30;5;12;18;31;14;31;9;10;2;7;3;10
DEJAN DAVIDOVAC;RED       ;23;18;2;3;8;21;2;7;3;5;6;7;1;2;1;3;1;5;2;3;1;3;10;11;8;10;5;10
BRANDON DAVIES;ZAL       ;36;18;0;0;0;0;0;0;0;0;0;0;0;0;1;6;5;17;5;13;2;4;40;61;38;66;29;41
NANDO DE COLO;CSK       ;31;18;2;3;16;37;12;25;6;13;16;32;3;5;6;17;10;28;9;21;12;24;39;58;16;24;26;37
CARLOS DELFINO;BAS       ;1;18;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BERK DEMIR;IST       ;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1
MARCUS DENMON;PAN       ;27;18;0;1;13;35;4;11;3;10;14;25;1;1;2;13;4;8;3;6;0;4;2;4;6;10;1;1
ALBERTO DIAZ;MAL       ;29;18;1;7;6;21;4;10;2;7;6;22;3;6;4;10;3;10;1;2;3;6;4;5;0;0;0;2
JOHN DIBARTOLOMEO;TEL       ;26;18;0;1;4;18;3;7;1;5;5;16;1;2;0;2;2;9;6;11;1;2;0;1;4;13;2;2
DANIEL DIEZ;MAL       ;22;18;2;3;4;11;0;1;0;0;4;14;2;5;4;5;0;1;1;2;1;3;14;18;3;6;3;8
ILIMANE DIOP;BAS       ;19;18;0;0;0;2;1;2;0;1;1;2;0;0;1;3;1;2;1;5;0;1;13;16;8;13;3;7
OGNJEN DOBRIC;RED       ;25;18;5;17;8;32;4;4;0;0;5;14;5;10;0;4;2;3;1;3;2;4;8;11;8;14;13;19
JUSTIN DOELLMAN;IST       ;3;18;0;0;0;1;2;3;0;0;0;3;0;0;0;2;0;0;0;0;1;1;1;2;1;3;1;1
