id,Player,Team,Season,Games,minutes,PPT2,PPT3,PPT,%TO,%Ass,FrTL,%T2 Abs,%T3 Abs,%Poss Abs,%DReb,%OReb,C3R,C3R_A,E3R,E3R_A,Ce3R,Ce3R_A,Ce3L,Ce3L_A,E3L,E3L_A,C3L,C3L_A,MBR,MBR_A,MER,MER_A,MEL,MEL_A,MBL,MBL_A,PR,PR_A,PC,PC_A,PL,PL_A,Cluster
Ali Muhammed17,Ali Muhammed,Fenerbahce,17,34,25.4,0.90909,1.16949,2.07858,13.32978,20.66116,0.15217,13.9726,39.8810,39.207307,10.9145,2.7697,0.1471,0.2647,0.5294,1.4706,0.3824,0.9706,0.3529,0.9412,0.6765,1.7059,0.2059,0.4706,0.2941,0.8235,0.2059,0.6471,0.1176,0.3235,0.0882,0.1765,0.5588,0.9118,0.1471,0.3235,0.1176,0.1471,5
Nikola Kalinic17,Nikola Kalinic,Fenerbahce,17,33,24.0,1.13514,1.09091,2.22604,14.93811,16.00512,0.18644,17.5940,17.5610,26.856594,11.9013,3.1301,0.2188,0.4375,0.3438,0.6875,0.0313,0.2188,0.0625,0.1250,0.1250,0.5938,0.0313,0.2188,0.2813,0.6563,0.1563,0.4688,0.0313,0.1875,0.1875,0.5000,0.6875,0.9375,0.1875,0.4063,0.5938,0.6563,1
Luigi Datome17,Luigi Datome,Fenerbahce,17,33,23.6,0.82051,1.45161,2.27213,11.10662,11.10662,0.21429,17.9448,24.0654,29.436266,14.3526,4.9917,0.3030,0.6667,0.5152,0.9697,0.1212,0.2424,0.1515,0.3939,0.3030,0.6364,0.0606,0.1818,0.2424,0.6667,0.2727,0.7576,0.1515,0.4545,0.1515,0.5758,0.3636,0.6364,0.1212,0.1818,0.3333,0.6061,1
Pero Antic17,Pero Antic,Fenerbahce,17,31,13.5,0.60000,1.03846,1.63846,7.73395,11.60093,0.25000,9.0062,30.1527,27.129786,18.0473,4.0936,0.1034,0.2069,0.3793,0.9655,0.0690,0.1724,0.1379,0.2759,0.2069,0.9310,0.0345,0.2069,0.0690,0.1379,0.0345,0.1724,0.0000,0.0345,0.0345,0.1724,0.0345,0.2069,0.1034,0.2069,0.0690,0.1379,2
Bogdan Bogdanovic17,Bogdan Bogdanovic,Fenerbahce,17,22,28.0,1.12000,1.28571,2.40571,13.98275,20.97413,0.27551,20.8333,30.6590,40.709764,14.7638,1.9824,0.0476,0.2381,0.9048,1.4762,0.4286,0.7143,0.2381,1.0952,0.5238,1.4286,0.0476,0.0952,0.3810,0.6190,0.3810,0.8571,0.3810,0.5238,0.2381,0.4762,0.7143,1.0000,0.2857,0.5238,0.5714,1.1905,5
Melih Mahmutoglu17,Melih Mahmutoglu,Fenerbahce,17,20,10.4,0.85714,1.37500,2.23214,4.96032,14.88095,0.09677,8.1761,35.0365,30.220994,4.8485,1.1429,0.0667,0.3333,0.2667,0.7333,0.0000,0.0000,0.1333,0.2667,0.8000,1.4667,0.1333,0.3333,0.0000,0.0667,0.0000,0.0667,0.0000,0.2000,0.1333,0.2000,0.0667,0.1333,0.0667,0.1333,0.0667,0.0667,2
Anthony Bennett17,Anthony Bennett,Fenerbahce,17,10,6.4,0.75000,0.54545,1.29545,12.50000,8.33333,0.00000,12.2449,33.3333,35.637919,15.2542,0.0000,0.1250,0.3750,0.0000,0.0000,0.0000,0.1250,0.0000,0.0000,0.0000,0.2500,0.1250,0.6250,0.1250,0.3750,0.0000,0.1250,0.0000,0.0000,0.0000,0.1250,0.1250,0.1250,0.0000,0.0000,0.1250,0.2500,2
Ahmet Duverioglu17,Ahmet Duverioglu,Fenerbahce,17,9,6.7,1.55556,0.00000,1.55556,11.96172,3.98724,0.22222,29.0909,0.0000,19.923789,10.0000,17.9487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.1667,0.6667,1.0000,0.5000,0.5000,6
Kyle Hines17,Kyle Hines,CSKA Moscow,17,35,20.5,1.27660,0.00000,1.27660,16.99029,7.28155,0.51064,23.4727,0.0000,19.254741,12.3596,13.2007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1429,0.0571,0.2286,0.0286,0.1143,0.0000,0.1143,1.6000,2.1429,0.6000,0.9143,0.7429,1.0000,6
Nikita Kurbanov17,Nikita Kurbanov,CSKA Moscow,17,35,19.2,1.00000,1.07143,2.07143,12.93847,15.81369,0.56410,13.5274,13.3144,19.586690,17.0690,6.3340,0.0571,0.2000,0.0000,0.2286,0.0000,0.0000,0.0286,0.0857,0.1714,0.5143,0.2000,0.3143,0.0286,0.2286,0.0286,0.0286,0.1143,0.2000,0.0286,0.4000,0.4286,0.6000,0.1429,0.3429,0.4857,0.8000,3
